Species,Subspecies,Strain,Platform,Centre,Replicate,Planned read length (bp),Chip,Mode,Fragment/insert size,Accession,URL,Reference,Isolation Date,Country of Origin,,Clinical Details,SRA SRP number,SRA Experiment,SRA Study
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",7,8000,,CLR,8000,SRR279916,231.5M,895.3Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",8,8000,,CLR,8000,SRR279917,217.8M,836.4Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",9,8000,,CLR,8000,SRR279918,181.6M,715.5Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",10,8000,,CLR,8000,SRR279919,179.1M,701.5Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",11,8000,,CLR,8000,SRR279920,257.6M,992.6Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",12,8000,,CLR,8000,SRR279921,200.4M,778.4Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",13,8000,,CLR,8000,SRR279922,201.6M,780.7Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",14,8000,,CLR,8000,SRR279923,228.9M,874.9Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",15,8000,,CLR,8000,SRR279924,182.3M,717.9Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",16,8000,,CLR,8000,SRR305910,147.1M,593.6Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",17,8000,,CLR,8000,SRR305911,170.9M,694Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",18,8000,,CLR,8000,SRR305912,136.9M,546.5Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",19,8000,,CLR,8000,SRR305913,69.4M,293.5Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",20,8000,,CLR,8000,SRR305914,178.4M,725.1Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",21,8000,,CLR,8000,SRR305915,135.9M,549.7Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",22,8000,,CLR,8000,SRR305916,161.7M,648Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",23,8000,,CLR,8000,SRR305917,176.9M,711.6Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",24,8000,,CLR,8000,SRR305918,170.2M,685.2Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",25,8000,,CLR,8000,SRR305919,56M,255Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",26,8000,,CLR,8000,SRR305920,152.7M,617Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",27,8000,,CLR,8000,SRR305921,57.5M,261.6Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",28,8000,,CLR,8000,SRR305922,157.3M,630.6Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",29,8000,,CLR,8000,SRR305923,151M,608.2Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",30,8000,,CLR,8000,SRR305924,194M,780.6Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",31,8000,,CLR,8000,SRR305925,153.5M,621.4Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",32,8000,,CLR,8000,SRR305926,124M,508.7Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",33,8000,,CLR,8000,SRR305927,94.5M,399Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",34,8000,,CLR,8000,SRR305928,142.9M,575.7Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",35,8000,,CLR,8000,SRR305929,103.1M,430.5Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",36,8000,,CLR,8000,SRR305930,133.8M,544.2Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",37,8000,,CLR,8000,SRR305931,127.6M,525.2Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",38,8000,,CLR,8000,SRR305932,136.7M,552.2Mb,,,,,,,
Escherichia coli,O104:H4,C227-11,PacBio,"Pacific Biosciences, US",39,8000,,CLR,8000,SRR305933,126.2M,525.3Mb,,,,,,,
